Name A Movie Involving An Elephant.,Dumbo,48,Tarzan,19,Jungle Book,17,Jumanji,7,Operation:Dumbo Drop,4
Name A Place Where It’s Always Rainy.,Seattle,50,Rainforest,22,London,14,Florida Everglades,4,Oregon,4
Name A Shakesphere Character Who Most People Have Heard Of.,Romeo,56,Hamlet,20,JulietteJuliet,15,MacBeth,3,Othello,3
Name Something Construction Workers Wear,Hard Hat,67,Tool Belt,14,Boots,8,Orange Vests,4,Overalls,4
Name Something A Couple Might Worry About Having Less Of Once They Have Children,Money,60,Intimacy,16,Time,13,Privacy,5,Partners Love,5
Name A Food Item A Restaurant Might Offer As “All-You-Can-Eat.”,Chicken,32,Salad Bar,26,Shrimp,21,Crab Legs,7,Pasta,6
Name Something That A Game Show Host And A Good Teacher Have In Common,Good Speaker,35,Smart,33,Sense Of Humor,19,Personality,8,Patience,3
"If You Were The Incredible Hulk, Tell Me What Part Of Your Day Would Most Likely Turn You Into A Monster.",Shopping,30,Work,25,Driving,19,Cleaning,14,Paying Bills,9
"Besides Passengers, Who Might You See At A Subway Station?",Police,42,Conductor,33,Homeless Person,11,Ticket Takers,5,Performer,3
Name Something A Woman’s Doctor Might Advise Her Not To Wear.,High Heels,45,Pantyhose,23,Makeup,12,Girdle/Corset,9,Perfume,4
Name Another Word For “Little.”,Small,39,Tiny,15,Miniature,5,Mini,3,Petite,2
"Name The Best Thing That Is Now Available Digital, But Hasn’t Always Been",TV,35,Clock,20,Canara,19,MP3/Music,14,Phone,10
Name A Type Of Book That You’re Not Expected To Read All Of.,Bible,36,Dictionary,28,Encyclopedia,15,Text Book,10,Phone Book,8
Name A Good Occupation For Someone Who Likes To Be The Center Of Attention,Actor,47,Singer,27,Teacher,12,Model,6,politician,4
"In Order To Seem Like A “Regular Guy,” Name A Place Where A Politician Might Hang Out.",Bar,38,Bowling Alley,27,Diner,23,Rock Concert,6,Pool Hall,5
Name A Business That You Wish Stayed Open Later.,Bank,27,Restaurant,24,Bar,24,Supermarket,13,Post Office,9
Name Something That Politicians Would Be Better Off Without,Big Promises,29,Money/Donors,27,Scandal,25,Media,8,Power/Control,5
What Topic Would You See In A Women’s Magazine That’s Never In A Men’s Magazine?,Make Up,37,Period,29,Fashion,12,Cooking,10,Pregnancy,10
Name Someone Bart Simpson Would Block From Becoming His Friend On Facebook.,His Dad/Homer,33,His Sister/Lisa,30,His Mom/Marge,15,The Bully/Nelson,6,Principal Skinner,3
Name Something A Caveman Might Do To Impress A Cavewoman,Kill Dinosaur,36,Beat His Chest,21,Make Fire,14,Bring Her Meat,14,Pull Her By The Hair,9
Name Something You Might Drive Over That Would Cause A Bumpy Ride,Bumps,39,Pot Holl,27,Gravel Road,12,Rocks,11,Railroad Track,4
Name A Place Where You Can Always Find A Taxi,New York,47,Airport,35,Hotel,5,Breathe,4,Railway Station,2
Name Something You Might Have To Put Up With An At Outdoor Cafe That You Wouldn’t When Eating Indoors,Bugs,31,Wind,21,Cold Weather,16,Sun,15,Rain,12
Name A Fruit They Put In Ice Cream,Strawberry,49,Peach,18,Strawberry,13,Banana,10,Raspberry,4
Name A Place Where It’s Hard To Talk Because Of All The Background Noise,Concert,53,Bar,21,Sports Game,10,Mall,5,Restaurant,5
Name Something You Cut With Scissors.,Paper,68,Hair,10,Clothes,9,Nails,5,Ribbon,3
Name An Occupation In Which You’d Probably Go Through A Lot Of Sunscreen.,Lifeguard,45,Road Construction,20,Land Scaper/Gardener,14,Farmer,11,Roofer,8
Name An Actor Who Also Has A Rock Band?,Keanu Reeves,33,Kevin Bacon,24,Bruce Willis,17,Jack Black,14,Russell Crowe,7
Name Something At A Restaurant That Might Keep Getting Refilled,Drink,58,Ketchup,13,Bread Basket,11,Salp/Pepper,11,Salad Bowl,3
Name A Instrument That Can Sound Whiny,Violin,40,Flute,28,Clarinet,19,Guitar,6,Saxiphone,4
Name Something People Know About Spiders.,8 Legs,37,They Bite,26,Make Webs,17,Poisonous,12,Scary,4
Name Something You Take A Deep Breath Before Looking At,Blood/Injury,42,Finances,2,Your Weight,16,Grades,10,Scary Movie,7
Name A Two-Word Term That Starts With “Secret.”,Secret Service,34,Secret Agent,20,Secret Admirer,19,Secret Santa,14,Secret Garden,7
Name An Occupation Where Women Are Often Portrayed As Sexy?,Nurse,33,Dancer,25,Model,17,Waitress,13,Secretary,7
Tell Me An Occupation In Which It Could Be Disastrous To Fall Asleep On The Job.,Truck Driver,43,Airplane Pilot,28,Machinist,10,Bus/Taxi Driver,8,Security Guard,6
Name Something A Costume Character May Have To Remove Their Head To Do,Eat,56,Get A Drink,17,Talk,12,Breath,9,See,5
Name Something You Buy To Go With A Guitar.,Pick,32,Case,28,Strings,18,Amp,16,Sheet Music,6
"When Wading In A Lake, Tell Me Something You Feel Against Your Feet",Pebbles,31,Sand/Mud,24,Fish,20,Seaweed,18,Shells,5
Name Something A Knight Needs For A Jousting Match,Horse,52,Sword,19,Armour,16,Lance,4,Shield,3
What Is The First Thing People Do If They Encounter A Bear In The Woods?,Run Away,55,Scream,21,Freeze,16,Hide,4,Shoot It,3
Name A Habit That Would Be Impossible To Hide From Your Spouse,Smoking,64,Drinking,12,Biting Nails,7,Gambling,7,Shopping,4
Name Something A Boy Might Wear That Is Likely To Get Him Kicked Out Of Prep School.,Hat,27,Dress/Skirt,23,Blue Jeans,18,Piercing,17,Shorts,9
Name Something You Do On Christmas And Your Birthday,Gifts,41,Eat Sweets,21,Party,15,Time With Family,13,Sing,5
Name Something A Family Might Do On Vacation At A Winter Lodge.,Ski,52,Sled,21,Ice Skate,9,Snowboard,8,Sit By Fire,5
"Name Something Parents Let Their Kids Do In The Past, That Would Make Them Seem Like Bad Parents Today",No Seatbelt,33,Unsupervised Play,24,No Bike Helmet,22,Walk To School,11,Sit In Front Seat,8
"Besides Video Games, Name Another Kind Of Game You Can Play At An Arcade.",Pinball,44,Foosball,16,Air Hockey,15,Basket Ball,14,Skee Ball,11
Name A Sport Whose Athletes Wear Hats.,Baseball,45,Golf,30,Tennis,12,Swimming,8,Skiing,3
"Tell Me Something That Kids Ride With Ease, But An Adult Would Be Afraid To Ride.",Bicycle,35,Roller Coaster,33,Skate Board,15,Horse,9,Sled,6
Name Something A Baby Learns To Do Even Before It Can Talk,Crawl,43,Walk,24,Eating Junk,12,Cry,10,Smile,4
Name Something You Hope Your Friend Doesn’t Do When House Sitting For You.,Party,44,Steal,15,Use My Clothes,15,Make A Mess,8,Smoke,8
"Other Than Drink Coffee, What Do People Do While At A Cafe",Talk,33,Read,21,Eat,20,Use Computer,18,Smoke,5
Tell Me Something You Avoid When You Are Sick,Other People,34,Work/School,29,Eating,25,Alcohol,5,Smoking,5
Name Something You Hope Doesn’t Happen When Holding Someone’s Baby.,Have To Change diaper,43,Drop It,24,Spit Up On You,16,Cry,9,Snneze/Cough On Baby,8
Name An Article Of Clothing That Makes You Feel Like You Can’t Move,Coat,30,Jeans,29,Girdle,20,Tights,10,Snow Suit,7
Name An Article Of Clothing That Makes You Feel Like You Can’t Move.,Coat,30,Jeans,29,Girdle,20,Tights,10,Snowsuit,7
Which Item Of Clothing Will You Wear More Than Once Before Washing It?,Jeans,57,Shirt,18,Coat,9,Bra,8,Socks,6
What Do People Start Having More Of In Their Car Once They Have Kids?,Toys,38,Trash,28,Car Seats,15,Food/Drink,13,Spills,4
Name Something A Person Might Do With Chewing Gum That Other People Think Is Rude.,Pop It,47,Smack,19,Blow Bubbles,13,Put Under Table,8,Spit It Out,8
Name Something You’d Need If You Wanted To Dress Up Like A Cowboy.,Cowboy Hat,62,Coyboy Boots,28,Toy Gun,4,Chaps,4,Spurs,2
Name Something A Bachelor Might Buy For His Bedroom To Make It More Romantic.,Candles,35,Mirrors,25,Colored Lights,16,Silk Sheets,11,Stereo System,6
Name Something That Causes Your Spouse To Snore Worse Than Usual.,Cold/Allergies,40,Alcohol,28,Exhaustion,21,Sleeping On Back,6,Stress,4
"Name Something Kids Use For Fun, But Adults Use For Exercise.",Bike,48,Ball,24,Jumprope,18,Trampoline,6,Swimming Pool,3
If A Person Is A Driver For A Living What Specific Type Of Vehicle Might He Drive?,Semi Truck,34,bus,25,Limo,16,Race Car,11,Taxi,5
Name Something People Like To Drink At Bedtime.,Milk,53,Water,27,Hot Chocolate,9,Juice,6,Tea,5
Name An Occupation Where People Are Paid To Tell Others What To Do (More Specific Than Boss).,Doctor,28,Lawyer,27,Fitness Trainer,15,Accountant/Broker,13,Teacher,6
Name A Type Of Sport That Might Be Cancelled Because Of Rain.,Baseball,72,Football,15,Golf,7,Soccer,4,Tennis,2
Tell Me The Worst Thing To Have Break If You’re Stuck In Bed On Doctor’s Orders,Television,45,Remote Control,20,Phone,17,Furnace/AC,10,The Bed,5
"If You Were Going To Be A Contestant On Jeopardy, Name A Specific Subject Area You’d Want To Memorize Beforehand.",History,46,Geography,24,Movies,11,Current Events,10,The Bible,3
Name Something That Your Spouse Has Accused You Of “Stealing.”,Money,54,Their Heart,24,Left Overs/Dessert,9,A Kiss,7,The TV Remote,4
Name A Kind Of Ticket People Wait In Line To Buy,Concert,45,Movie,43,Amusement Park,3,Sports,3,Theatre,2
"Many Hunters Wear Camouflage In The Woods, Name A Pattern You’d Be Surprised To See A Hunter Wear.",Polka Dots,36,Stripes,33,Floral,12,Paisley,11,Tie Dye,5
Give Me A Person’s First Name That Rhymes With “Silly.”,Billy,59,Willy,18,Lily,12,Millie,7,Tillie,3
Tell Me A Name That’s Common For Cats To Have.,Fluffy,28,Felix,21,Whiskers,20,Morris,10,Tom,6
Name Something Specific Farmers Grow In Their Fields,Corn,46,Wheat,17,Cotton,13,Carrots,6,Tomatoes,5
Name A Reason Why Some TV Commercials Are More Irritating Than Others.,Loud Sounds,38,Played Too Much,22,Too Long,15,Catchy Song,15,Too Boring,6
Name Something Cats Can Chase All Day.,Nice,38,Tail,25,Ball Of Yarn,12,Birds,10,Toy/Ball,9
Name Something You’ve Ridden On Only A Handful Of Times In Your Life.,Horse,35,Airplane,33,Roller Coaster,21,Motorcycle,14,Train,4
"Name Something You’d See At A Dog Show, But Not At A Beauty Pageant.",Dogs,53,Leash,24,Poop,10,Collar/Tag,6,Trainers,5
Name Something A Camper Does While Camping That He Wouldn’t Do At Home.,Build A Fire,35,Hike,18,Sing Campfire Songs,17,Sleep In A Tent,14,Use A Latrine,10
Name Something You See Cheerleaders Do That Would Look Strange To See People Doing Otherwise.,Splits,31,Shouting,27,Cartwheel,15,Pyramid,13,Use Pom Poms,11
"Name Something People Don’t Want To Do In Front Of Somebody They’re Dating, Until They Get Serious.",Pass Gas,60,Show Affection,13,Eat,9,Undress,9,Use The Restroom,4
Name Something People Associate With Niagara Falls.,Waterfall,74,Hioneymoon,11,Weddings,8,Barrels,5,Vacation,2
Name Something Cats Hate,Dogs,54,Water,33,Grab Their Tail,3,Mouse,3,Vacuum Cleaner,2
"Besides Chocolate Chip, Name A Popular Cookie",Oreo,44,Oatmeal,22,Peanut Butter,17,Sugar,8,Vanilla Wafers,3
Name A Country To Which American Jobs Are Being Outsourced,China,28,Mexico,27,India,21,Japan,14,Vietnam,5
Name Something You Might Know Your Partner’s Password For,E Mail,40,Computer,23,Bank Account,20,Credit Card,7,Voice Mail,4
Name A Place Where People Are Asked To Rise,Place Of Worship,44,Court,30,School,12,Sporting Event,10,Wedding,5
Name Something People Carry On Their Shoulders.,Backpacks,43,Purses,33,Kids,12,Monkey,5,Weight Of The World,2
Name Something You Want To Know When You Run Into A Friend You Haven’t Seen In Years?,Married?,31,How Are You?,29,Your Name Again…?,16,Have Kids?,12,What Do You Do?,9
Name Something In Your Car That Can Be Turned On And Off.,Radio,28,Engine,26,Lights,23,Heater/AC,13,Wipers,5
Name A Reason A Person Might Wear A Disguise.,Halloween Party,41,Robber/On The Run,27,Undercover Spy,12,Celebrity,10,Witness Protection,7
Name Something You Can’t Be Afraid Of If You Want To Become A Fisherman,Water,49,Fish,21,Hooks,15,Boats,8,Worms,7
Name A Type Of TV Show A Man Might Be Embarrassed To Say He Watches A Lot Of.,Soap Opera,61,Cartoons,13,Talk show,10,Game Show,8,Wrestling,5
Tell Me Something You’d Hear On The Radio That Would Lead You To Believe That The Host Is Inexperienced.,Stuttering,39,Dead Air,31,Profanity,12,Belch/Cough,10,Wrong Song,6
Name A Place That Might Be Dimly Lit.,Restaurant,42,Bar,31,Movie Theater,11,Basement,5,Alley,4
Name Something You Might Find Inside Of A Plastic Egg.,Candy,63,Pantyhose,18,Toys,10,Money,5,Balls,4
Tell Me A Noise That Birds Make.,Chirp/Cheep,38,Tweet,30,Caw Caw,14,Squawk,6,Cluck,5
A Young Person “Fights For Their Right To Party.” What Might An Old Person Fight For The Right To Do?,Sleep,32,Vote,25,Retire,16,Keep License,10,Get Social security,8
Name A Reason Why A Child Might Not Want Long Hair.,Hot,38,Tangles,24,Looks Like A Girl,19,Hard To Wash,7,In Their Eyes,7
Name A Drink That You Might Stir.,Coffee,50,Tea,17,Martini,12,Chocolate Milk,8,Kool Aid,7
Name An Animal You See In The Woods That You Would Be Surprised To See In The City.,Bear,38,Deer,29,Wolf,14,Fox,11,Mountain Lion,7
"Other Than For A Passenger, Name A Reason A Cab Driver Would Stop The Car.",Red Light,32,Accident,23,Traffic Jam,21,Police/Sirens,12,Needs Gas,8
Name An Article Of Clothing That Only A Neat-Freak Would Iron.,Underware,47,Socks,29,Jeans,14,Tie,5,Nightgown,3
Name A Reason A Game Show Host Might Get Fired.,Cursing,30,Intoxicated,25,Rude,19,Cheating,15,Not Funny,8
Name A Halloween Costume People Wear If They Don’t Want To Go All Out.,Ghost,50,Witch,36,Pumpkin,5,Vampire,4,Pajamas,3
Name Something You’d Find In A Hospital Waiting Room.,Magazines,58,TV,12,Pay Phone,10,Chair,9,People,6
"If Fred Flintstone Was Your Neighbor, Name Something You Wouldn’t Ask To Borrow.",Car,45,Clothes/Shoes,24,Food,15,Lawn Mower,8,Phone,3
Name An Occupation You’d Want Just For The Car.,Limo Driver,32,police Officer,25,Racecar Driver,22,Taxi Driver,11,Pizza driver,8
Name An Exercise High School Gym Teachers Make You Do.,Jumping Jacks,39,Run,27,Push Ups,23,Sit Ups,6,Pull Ups,3
Name Something That People With Roommates Do More Of In Their Bedroom Than People Without,Watch TV,34,Talk On The Phone,18,Sleep,15,Eat,14,Read/Study,13
Name Something In An Office That Makes A Lot Of Noise.,Telephones,40,Copier,26,Fax Machine,13,Printer,10,Shredder,5
Name A Specific Item That A Woman Might Not Want To Wear When She’s Pregnant.,Bikini,42,Jeans,25,High Heels,17,Mini Skirt,7,Spandex,6
"If You Moved To England, Name Something That Would Take Some Getting Used To.",British Accent,43,Weather,18,Driving On Other Side,17,Culture,12,Time Difference,4
"If Men Carried Purses, Name Something You’d Find Inside Them.",Wallet/Money,34,Cell Phone,20,Cigarettes,17,Keys,15,Tools,12
Name Something That Kids Promise Their Parents They’ll Do If They’re Allowed To Borrow The Family Car,Chores,29,Drive Carefully,27,Fill It Up,25,Make Curfew,11,Wash It,6
Name something that kids promise their parents they’ll do if they’re allowed to borrow the family car.,Chores,29,Drive carefully,27,Fill it up,25,Make curfew,11,Wash it,6
Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6
For Which Items Do People Wait In Long Lines To Purchase At The Holidays?,Toys,54,Electronics,17,Video Games,12,Food,8,Food,8,Clothes,5
Name An Occupation That Would Never drive A Small Car.,Bus Driver,35,Trucker,34,Limo Driver,13,Fireman,5,Postal delivery,4,Construction Worker,3
Name A Skill That A Person’s Resume Might Claim They’re Better At Than They Really Are.,Typing,28,Working Hard,23,Communication,20,Sales,6,Customer Service,5,Foreign Language,5
Name A Christmas Show That Is On TV Every Year.,Rudolph,25,Christmas Story,15,Frosty,12,Grinch,11,A Wonderful Life,10,Home Alone,3
Name A Place Where Most Americans Go At Least Once For Vacation,Disneyland/World,45,Hawii,35,Las Vegas,6,Mexico,5,Grand Canyon,4,New York City,4
Tell Me Something You Try To Avoid Hitting While Sledding Down A Hill,Tree,44,Rock,28,Bump,10,People,9,All/Fence,4,parked Car,3
Name Something Specific A Student Might Do In Oder To Become The Teacher’s Pet,Bring An Apple,42,Get Good Grades,21,Brown Nose,10,Do Extra Credit Work,9,Raise Hand Often,5,Sit In Fornt,5
What Time Is The earliest You’re Willing To Get Up On A Saturday?,10,34,8,32,9,13,11,6,Noon,5,7,4
A What Place Would You Not want To Be Seated Next To Someone With An Annoying Laugh,Movies,38,Airplane,27,Church,13,Comedy Club,8,Restaurant,5,Bus,5
Name Something You Are Embarrassed To Do In Front Of People At The Gym,Change Clothes,33,Shower,25,Pass Gas,16,Run,11,Stretch/Bend Over,6,Dance,3
Tell Me Something About A Boy’s Appearance That Might Make his Date’s Disapprove Of Him,Long Hair,28,Tattoos,27,Inappropriate dress,20,Piercings,17,Dirty/Unkempt,3,Facial Hair,3
Name Something A Child Might Carry Along Everywhere,Blanket,27,Toy,26,Teddy Bear,22,Doll,15,Bottle,5,Pacifier,3
Which Former President Would Look Funny Wearing A Dress?,George W Bush,35,William Clinton,23,Abe Lincoln,19,Richard Nixon,12,George Washington,5,Ronald Reagan,3
Name Something Your Spouse Might Get Mad At You for Doing Too Much,Talking,27,Shopping/Spending,21,Drinking,18,Sleeping,16,Spending Money,9,Watching TV,6
What Kind Of Gift Would You Get Somebody That Spends A Lot Of Time At The Beach,Towel,45,Bathing Suit,17,Sun Screen,10,Umbrella,10,Sunglasses,8,Beach Chair,7
Name Something Millionaires Might Shop For Just For Fun,cars,71,Clothes,10,Houses,9,Jewlery,3,Plane,3,boat,3
Name An Item Stores Probably Have A Hard Time Selling After Christmas,Trees,37,Ornaments,19,Toys,11,Lights,8,Wrapping Paper,7,Christmas Cards,4
Name Something You Do In Front Of A Mirror You Wouldn’t Want Anyone To See,Pop A Zit,14,Look At Your Body,9,Dance,8,Undress,6,Pluck eyebrows,6,Clip Nose Hairs,6
Name Something That You Can Tell Is Fake In A Cheesy Movie,Blood,50,Love Scenes,13,Scenery,12,Acting,10,Monsters,6,Fight Scenes,5
Name Something Your Likely To Find At A Fall Harvest Fair,Pumpkins,39,Corn,20,Leaves,18,Apples,12,People,5,Hay Rides,3
"name A fear parents Have For Their Child, When She Moves Out Of The House",Money,35,Drugs,23,Death,14,Safety,11,Coming Back,10,Lonely,5
"When Sitting Close To A Date, What Clue Might They Give That They Like ",Holds Your hand,28,kisses You,25,Smiling,21,Arm Around You,12,Move Closer,7,Looking At You,5
Name An Instance When You Fake A Smile,Having A Photo Taken,34,Hear A Bad Joke,18,Job Interview,13,Upset,12,Meeting New People,12,Nervous,4
Name A Sign You’re At A Really Cheap Birthday party,No Cake,22,No food,17,No Decorations,7,No favors,6,No Presents,5,No cards,3
Name Something That Young Children Memorize,Alphabet,62,Spell Their Name,13,Phone Number,8,Address,4,Nursery Rhymes,4,Pledge Of Allegiance,3
Name Something A Hobo Does To Pass His Time While Ridin’ The Rails,Sleep,33,Sing,24,Drink Alcohol,19,Eat,7,Talk,5,Read,3
"Other than Acting, Name A Profession That Celebrity Actors Might Take Up",Singing,61,Directing,11,Modeling,10,Fashion design,9,Politics,3,Spokeperson,3
What Might A Rock Star Do At A Concert Hall That prevents Him Form Getting Hired Again,Trash The Place,30,Drink To Much,28,Swear,18,Strip,6,Not Show Up,5,Start A Fire,4
Name Something You Should Never Wear As The Guest At Someone’s Wedding,White Dress,28,All black,24,Shorts,15,Jeans,12,Cap,5,T Shirt,3
"Name Something Men In Fairy Tales Fight Against, That Real Men Don’t",Dragon,47,Ogre,24,Witch,13,Monster,8,Beast,5,Trol,3
Name A Movie Or TV Show That Has The word ‘Diary/Diaries’ In The Title,…Mad Black Woman,29,Diary Of Ann Frank,26,Princess Diaries,19,Bridgette Jones’,9,Diary Of A Wimpy Kid,8,Vampire Diaries,6
We Asked 100 Married people: After How Many Did You Know Your Partner was The one?,3,23,5,21,1,18,2,17,10,14,4,5
"If A group Of Senior Citizens Formed A Punk Rock Band, What Might Their Songs Bark About",Young People,34,Medicine/Health,32,Dentures,12,Getting Old,12,Fixed Income,7,Aches and Pains,3
Name A Job Where It Would Be Okay To Yell At Work,construction,43,Sports,31,Teacher,8,Police,6,Stock Broker,5,Auctioneer,4
Name A Sport In Which Participants Use A Specific Kind Of Headwear,Football,36,Hockey,18,Baseball,18,Swimming,10,Wrestling,5,Boxing,5
What Do People Do That Could Get Them Kicked Out Of A Museum,touch The Art,33,Run,15,Steal,14,Yell,12,Bring Food In,10,Break Something,5
Name Something That often Has Magical Powers In fairy Tales,Wand,34,Witch,24,Fairy Godmother,18,Wizard,12,Fairy Dust,4,Broom,4
Name Something A Child Might Never Do If They weren’t Forced To,Brush Teeth,27,Eat Vegetable,18,School/Homework,17,Bathe,11,Go To Bed,10,Clean,10
Name Something That it’s Hard To Do While Listening To Music,Read,30,Have A Conversation,27,Watch TV,18,Study,11,Fall Asleep,7,Concentrate,3
Name An Expression That Ends With The word “House”,Fullhouse,12,Whitehouse,12,Brickhouse,7,Outhouse,6,Open House,4,Crack House,3
"aside From Animals, Name Something People Hunt For.",bargains,38,treasure,16,Easter Eggs,14,Lost Keys,11,Job,8,Dates,7
name Something A Celebrity Hopes Won’t Happen While On Stage To Accept An Award,Fall,43,Forget Speech,22,Loose Voice,11,Faint,6,Cry,4,Drop Award,3
Name Something You Do In A Booth,Kiss,17,Talk On Phone,16,Have Picture Taken,15,Vote,14,Sell Tickets,12,Eat,6
name something You Often Feel Sleepy while Doing,Reading,48,Driving,27,Watching Tv,10,Working,5,Homework,4,Eating,3
Name A Reason Your Bathroom Is Better Than An Outhouse,Running water,18,Cleaner,15,Inside,12,No Smell,9,Heated,9,Flush Toilet,6
Name A Job Where Employees Must get Tired Arms,Construction,29,Movers,24,parcle Delivery,18,Hair dresser,12,Traffic Cop,5,Food server,4
Name A Specif Food That Someone With High Cholesterol Might give Up,Eggs,36,butter,14,Bacon,14,Fired Chicken,12,Pizza,11,French Fries,10
name A Way You Might Be Able to Tell Your Baby Is really An Alien,Strange Appearance,19,Weird Eyes,18,Large Ears,7,Antennas,6,Speech,6,He can Fly,4
What Might somebody Do That Would Annoy Fellow Theater-Goers At A Play?,Talk Loudly,80,Use Phone,6,Cough,3,Laugh,3,Snore,3,Heckle,3
Name Something A Magician Might Make Disappear,Rabbit,43,Assistant/Spectator,36,Bird,7,Money,4,Flowers,3,her/himself,3
Name Something A Slob Might Never Clean,Bedroom,46,bathroom,25,kitchen,8,Car,7,Clothes,7,Himself/Herself,6
Name A Popular Pick Up Line,Do I know You,33,Hey Baby,28,What’s Your Sign,12,Fall Form Heaven,9,Come Here Often,6,How You Doing,4
By What Method Might A Woman Make The Announcement That She’s Pregnant,Over Dinner,27,With A Party,20,In An Email,15,Send Out Announcements,12,By Phone,8,In Person,6
What Might An Adult Wear That Has His Name On It?,Shirt/Uniform,46,Name Tag,26,Jewlery,11,Jersey,5,Belt,4,Jacket,4
"Besides The Blade, Name Something You’d Find On A Swiss Army Knife",Corkscrew,22,Screw Driver,14,Scissors,13,Can Opener,11,Bottle Opener,7,Nail File,5
Name Something Teens May Be Afraid Of When Moving Away To College,Expenses,41,Being Alone,25,Leaving Home,12,Making New Friends,5,Difficult Classes,4,New Roommate,3
name A Place You’d Visit More Often If It wasn’t So Crowded There,Mall,31,Zoo,22,Bar/Club,14,Disney World,13,Beach,9,Park,4
"Name A Place Where A Mom Might Go When She Says, ” I Need Peace And Quiet.”",Her Bedroom,38,Take A Bath,30,Spa,11,Place Of worship,9,Library,6,Park,3
Name Something Around The House You Might Keep Spare Batteries For,Flashlight,42,Remote Control,26,Radio,11,Toys,8,Music Player,6,Portable Videogame,5
What Is The First Thing You Would Do If You Won A Million Dollars,Buy A House,48,Buy A Car,18,Vacation,11,Shopping Spree,8,Pay Bills,7,Quit Job,5
Name something That’s forbidden In Most Swimming Pools,Peeing,41,Diving,21,Street Clothes,12,Nudity,9,Eating,7,Rafts,5
"What Do Tourists Ride In Or On, That Makes Them Stand Out?",Tour Bus,46,Bicycle For 2,15,Rental Cars,13,Taxi,9,Carriage,4,Rickshaw,3
Name something Many People Would Love To Live Next To,Swimming Area,52,Park,16,Shopping District,15,Bar,6,Celebrity’s Home,5,School,3
At which Type Of Place Would You Be Surprised To See A Neon Sign Hanging In The Window,Place Of Worship,54,My House,27,Hospital,6,Dentist’s Office,3,Library,3,School,3
Name a Meal You’d Never Serve At a Fancy Party,Pizza,40,Hot Dog,32,Hamburger,11,Spaghetti,6,Meatloaf,5,Sloppy Joe,4
Name A type Of Dance People Do In A Dance Competition,Tango,36,salsa,24,Waltz,14,Tap,8,Break Dancer,4,swing Dance,3
Name Something A Fan Might Collect From Their favorite Singer,Autograph,52,Albums,12,Hair,8,Posters,7,Photos,7,T Shirt,3
Name A Complaint A Customer Might Have About A Bar They’re At,Too Much Smoke,19,Noise,18,Bad Service,13,Watery Drinks,6,Expensive Drinks,5,Too Rowdy,4
"name Something You Carry with You Just In Case, But Hate to Get Stuck Carrying",Jacket,31,Purse/Wallet,19,Cell Phone,17,Camera,14,Umbrella,12,Water Bottle,6
Name Something Men Probably Lie About Most,Age,42,Being Single,20,Income,19,Success With Women,6,Job Title,5,Weight,5
Name Something People Proudly Share On Facebook,Pictures,53,Info. On Kids,12,Age,10,Real Name,10,Relationship Status,5,Who friends Are,3
Name Something You Wouldn’t Want Your date To Talk Too Much About,Past relationships,37,Intimacy,23,Him/Herself,14,Monsy,9,Family,4,Work,4
"Name Something Pros Do On A Golf Course, That You’d Look Silly Doing For Mini Golf",Practice Swing,26,Wearing Golf Gloves,17,Having A Caddy,14,Using A Tee,13,Driving Golf Cart,10,Yelling Fore,8
"On Average, How Many Hours Does A Couple Sleep On Their Wedding Night",4,30,5,22,3,20,2,18,0,4,1,4
"It’s Said There Is A Seven Year Itch, After How Many Years Do You Think The Itch really Comes",5,32,3,26,2,16,1,8,7,5,10,4
Name A Place You Would Go With Your Wife Just To Make Her Stop Nagging,Shopping Center,36,Restaurant,23,Movie Theater,17,Place Of Worship,8,Hawii,5,Ballet,3
Name Something You Do After returning Home From A Long Vacation,Sleep,32,Unpack,21,Eating Sweets,18,Laundry,10,Shower,6,Check Mail,5
"Name An Employee You’d Find At A Fancy Hotel, But Not At A Budget Motel",Concierge,32,Bellhop,22,Valet,17,Doorperson,12,Room Service,8,Chef,6
Tell Someone Who Parents Tell Their Kids To Have respect For. (More specific Then “Elders”),Teacher,57,Grandparent,12,Police Officer,11,Themselves,8,Parent,6,Clergy,5
Name Something You Would Do In A Public Restroom That You Would Never Do In Your Own Bathroom,Pee On The Floor,24,Pee On The Toilet,14,Put Paper On Seat,12,Write On Wall,11,Leave It Messy,10,Don’t flush Toilet,9
Name Something A Person Might Do In Order To Stay Attractive,Plastic Surgery,33,Exercise,26,Wear Makeup,14,Diet,8,Use Botox,6,Dye Hair,4
Name Something Women’s Magazines Give Advice On,Intimacy,46,Romantic Relationships,24,Makeup,6,Hair,5,Keeping Fit,5,Fashion,4
What Is The Best Part Of A 4th Of July Parade,FIREWORKS,41,FLOATS,26,CANDY,19,MUSIC,7,COSTUMES,3,FIRE TRUCKS,3
What Is The Maximum Number Of Times It’s Okay For Your Partner To Call You At Work,2,34,3,23,1,19,4,7,0,6,5,3
Name Something That Usually Stops After A Couple Gets Married,Affection,33,Dating,18,Romance,14,Talking,12,Fun,9,Flirting,5
Name Something Grocery Stores Keep In A Glass Case,MILK,27,CIGARETTES,20,MEAT,17,ICE CREAM,16,ALCOHOL,8,FLOWERS,7
Name A Club A High School Student Might Belong To,GLEE CLUB,23,CHESS CLUB,16,DEBATE CLUB,14,DRAMA,13,ART,6,FOREIGN LANGUAGE,5
